Game,Opponent,Ratio,Win
Red Dead Redemption,Borderlands 2,0.79,1
Grand Theft Auto: San Andreas,Mario Kart 8 Deluxe,0.73,1
Star Wars: Knights of the Old Republic,Tony Hawk Pro Skater 2,0.55,1
Fallout: New Vegas,League of Legends,0.74,1
World of Warcraft,Fortnite,0.62,1
Chrono Trigger,Burnout 3: Takedown,0.41,0
Call of Duty 4: Modern Warfare,GoldenEye 007,0.72,1
Journey,Dishonored,0.3,0
Portal 2,The Sims 3,0.72,1
God of War (2018),StarCraft,0.9,1
Sid Meier's Civilization IV,Assassin's Creed IV: Black Flag,0.15,0
The Legend of Zelda: Ocarina of Time,The Elder Scrolls V: Skyrim,0.37,0
BioShock,Overwatch,0.65,1
Minecraft,Fable 2,0.71,1
The Witcher 3: Wild Hunt,Diablo II,0.85,1
Doom,Inside,0.76,1
Super Mario World,Super Smash Bros. Ultimate,0.6,1
The Last of Us,Metal Gear Solid 3: Snake Eater,0.74,1
Halo 2,Mass Effect 2,0.69,1
Grand Theft Auto V,Uncharted 2: Among Thieves,0.75,1
Street Fighter II,Pokemon Yellow,0.53,1
Super Mario 64,Batman: Arkham City,0.61,1
Dark Souls,Shadow of the Colossus,0.66,1
Half-Life 2,Rise of the Tomb Raider,0.48,0
Super Metroid,Apex Legends,0.54,1
Animal Crossing: New Horizons,Titanfall 2,0.33,0
Half-Life: Alyx,Bloodborne,0.3,0
Tetris,Rock Band,0.68,1
Hades,Metroid Prime,0.46,0
Super Mario Bros. 3,Persona 5 Royal,0.7,1
Castlevania: Symphony of the Night,Resident Evil 4,0.21,0
The Legend of Zelda: Breath of the Wild,Final Fantasy VII (1997),0.65,1
Red Dead Redemption,Grand Theft Auto: San Andreas,0.49,0
Star Wars: Knights of the Old Republic,Fallout: New Vegas,0.49,0
World of Warcraft,Burnout 3: Takedown,0.6,1
Call of Duty 4: Modern Warfare,Dishonored,0.78,1
Portal 2,God of War (2018),0.79,1
Assassin's Creed IV: Black Flag,The Elder Scrolls V: Skyrim,0.42,0
BioShock,Minecraft,0.43,0
The Witcher 3: Wild Hunt,Doom,0.76,1
Super Smash Bros. Ultimate,The Last of Us,0.36,0
Halo 2,Grand Theft Auto V,0.28,0
Pokemon Yellow,Batman: Arkham City,0.33,0
Dark Souls,Rise of the Tomb Raider,0.54,1
Apex Legends,Titanfall 2,0.41,0
Bloodborne,Tetris,0.55,1
Metroid Prime,Super Mario Bros. 3,0.28,0
Resident Evil 4,The Legend of Zelda: Breath of the Wild,0.45,0
Grand Theft Auto: San Andreas,Fallout: New Vegas,0.69,1
World of Warcraft,Call of Duty 4: Modern Warfare,0.25,0
God of War (2018),The Elder Scrolls V: Skyrim,0.64,1
Minecraft,The Witcher 3: Wild Hunt,0.42,0
Batman: Arkham City,Dark Souls,0.64,1
Titanfall 2,Bloodborne,0.48,0
Super Mario Bros. 3,The Legend of Zelda: Breath of the Wild,0.36,0
Grand Theft Auto: San Andreas,Call of Duty 4: Modern Warfare,0.63,1
God of War (2018),The Witcher 3: Wild Hunt,0.61,1
Grand Theft Auto V,Batman: Arkham City,0.62,1
Bloodborne,The Legend of Zelda: Breath of the Wild,0.35,0
Grand Theft Auto: San Andreas,God of War (2018),0.39,0
Grand Theft Auto V,The Legend of Zelda: Breath of the Wild,0.55,1
God of War (2018),Grand Theft Auto V,0.62,1
